Location,Fractional Days
"Mercer Island, United States",16.8
"Kihei, United States",14.3
"Bend, United States",7.9
"Wailea, United States",7.0
"Ketchum, United States",5.5
"Sun Valley, United States",3.6
"Newport Beach, United States",1.6
"Menlo Park, United States",0.9
"Seattle, United States",0.9
"Bellevue, United States",0.7
"Woodinville, United States",0.6
"Seatac, United States",0.5
"Maui County, United States",0.5
"Kahului, United States",0.5
"SeaTac, United States",0.4
"Lahaina, United States",0.4
"Wailuku, United States",0.3
"Olympia, United States",0.3
"Makawao, United States",0.3
"Pauwela, United States",0.2
"None, None",0.2
"Palo Alto, United States",0.2
"Paia, United States",0.2
"Medina, United States",0.2
"Hailey, United States",0.1
"Kirkland, United States",0.1
"Marysville, United States",0.1
"Bothell, United States",0.1
"San Mateo County, United States",0.1
"Santa Ana, United States",0.1
"Blaine County, United States",0.1
"Everett, United States",0.1
"Deschutes County, United States",0.1
"Fountain Valley, United States",0.0
"Fairfield, United States",0.0
"Maui, United States",0.0
"San Francisco, United States",0.0
"Kanahena, United States",0.0
"Maalaea, United States",0.0
"Lewis, United States",0.0
"Federal Way, United States",0.0
"Issaquah, United States",0.0
"None, United States of America",0.0
"Kent, United States",0.0
"Burien, United States",0.0
"Tacoma, United States",0.0
"Harney County, United States",0.0
"Nampa, United States",0.0
"Quil Ceda Village, United States",0.0
"Makena, United States",0.0
"Lynnwood, United States",0.0
"Larch Way, United States",0.0
"Costa Mesa, United States",0.0
"San Mateo, United States",0.0
"Redwood City, United States",0.0
"South San Francisco, United States",0.0
"Mountain Home, United States",0.0
"Lower Paia, United States",0.0
"Belmont, United States",0.0
"Camas County, United States",0.0
"Lakewood, United States",0.0
"Camas, United States",0.0
"Irvine, United States",0.0
"Burlingame, United States",0.0
"King County, United States",0.0
"Tukwila, United States",0.0
